species	group
acanthochromis_polyacanthus	vertebrates
accipiter_nisus	vertebrates
ailuropoda_melanoleuca	vertebrates
amazona_collaria	vertebrates
amphilophus_citrinellus	vertebrates
amphiprion_ocellaris	vertebrates
amphiprion_percula	vertebrates
anabas_testudineus	vertebrates
anas_platyrhynchos	vertebrates
anas_platyrhynchos_platyrhynchos	vertebrates
anas_zonorhyncha	vertebrates
anolis_carolinensis	vertebrates
anser_brachyrhynchus	vertebrates
anser_cygnoides	vertebrates
aotus_nancymaae	vertebrates
apteryx_haastii	vertebrates
apteryx_owenii	vertebrates
apteryx_rowi	vertebrates
aquila_chrysaetos_chrysaetos	vertebrates
astatotilapia_calliptera	vertebrates
astyanax_mexicanus	vertebrates
astyanax_mexicanus_pachon	vertebrates
athene_cunicularia	vertebrates
balaenoptera_musculus	vertebrates
betta_splendens	vertebrates
bison_bison_bison	vertebrates
bos_grunniens	vertebrates
bos_indicus_hybrid	vertebrates
bos_mutus	vertebrates
bos_taurus	vertebrates
bos_taurus_hybrid	vertebrates
bubo_bubo	vertebrates
buteo_japonicus	vertebrates
caenorhabditis_elegans	vertebrates
cairina_moschata_domestica	vertebrates
calidris_pugnax	vertebrates
calidris_pygmaea	vertebrates
callithrix_jacchus	vertebrates
callorhinchus_milii	vertebrates
camarhynchus_parvulus	vertebrates
camelus_dromedarius	vertebrates
canis_lupus_dingo	vertebrates
canis_lupus_familiaris	vertebrates
canis_lupus_familiarisbasenji	vertebrates
canis_lupus_familiarisboxer	vertebrates
canis_lupus_familiarisgreatdane	vertebrates
canis_lupus_familiarisgsd	vertebrates
capra_hircus	vertebrates
capra_hircus_blackbengal	vertebrates
carassius_auratus	vertebrates
carlito_syrichta	vertebrates
castor_canadensis	vertebrates
catagonus_wagneri	vertebrates
catharus_ustulatus	vertebrates
cavia_aperea	vertebrates
cavia_porcellus	vertebrates
cebus_imitator	vertebrates
cercocebus_atys	vertebrates
cervus_hanglu_yarkandensis	vertebrates
chelonoidis_abingdonii	vertebrates
chelydra_serpentina	vertebrates
chinchilla_lanigera	vertebrates
chlorocebus_sabaeus	vertebrates
choloepus_hoffmanni	vertebrates
chrysemys_picta_bellii	vertebrates
chrysolophus_pictus	vertebrates
ciona_intestinalis	vertebrates
ciona_savignyi	vertebrates
clupea_harengus	vertebrates
colobus_angolensis_palliatus	vertebrates
corvus_moneduloides	vertebrates
cottoperca_gobio	vertebrates
coturnix_japonica	vertebrates
cricetulus_griseus_chok1gshd	vertebrates
cricetulus_griseus_crigri	vertebrates
cricetulus_griseus_picr	vertebrates
crocodylus_porosus	vertebrates
cyanistes_caeruleus	vertebrates
cyclopterus_lumpus	vertebrates
cynoglossus_semilaevis	vertebrates
cyprinodon_variegatus	vertebrates
cyprinus_carpio_carpio	vertebrates
cyprinus_carpio_germanmirror	vertebrates
cyprinus_carpio_hebaored	vertebrates
cyprinus_carpio_huanghe	vertebrates
danio_rerio	vertebrates
dasypus_novemcinctus	vertebrates
delphinapterus_leucas	vertebrates
denticeps_clupeoides	vertebrates
dicentrarchus_labrax	vertebrates
dipodomys_ordii	vertebrates
dromaius_novaehollandiae	vertebrates
drosophila_melanogaster	vertebrates
echeneis_naucrates	vertebrates
echinops_telfairi	vertebrates
electrophorus_electricus	vertebrates
eptatretus_burgeri	vertebrates
equus_asinus	vertebrates
equus_caballus	vertebrates
erinaceus_europaeus	vertebrates
erpetoichthys_calabaricus	vertebrates
erythrura_gouldiae	vertebrates
esox_lucius	vertebrates
falco_tinnunculus	vertebrates
felis_catus	vertebrates
ficedula_albicollis	vertebrates
fukomys_damarensis	vertebrates
fundulus_heteroclitus	vertebrates
gadus_morhua	vertebrates
gallus_gallus	vertebrates
gallus_gallus_gca000002315v5	vertebrates
gallus_gallus_gca016700215v2	vertebrates
gambusia_affinis	vertebrates
gasterosteus_aculeatus	vertebrates
geospiza_fortis	vertebrates
gopherus_agassizii	vertebrates
gopherus_evgoodei	vertebrates
gorilla_gorilla	vertebrates
gouania_willdenowi	vertebrates
haplochromis_burtoni	vertebrates
heterocephalus_glaber_female	vertebrates
heterocephalus_glaber_male	vertebrates
hippocampus_comes	vertebrates
homo_sapiens	vertebrates
hucho_hucho	vertebrates
ictalurus_punctatus	vertebrates
ictidomys_tridecemlineatus	vertebrates
jaculus_jaculus	vertebrates
junco_hyemalis	vertebrates
kryptolebias_marmoratus	vertebrates
labrus_bergylta	vertebrates
larimichthys_crocea	vertebrates
lates_calcarifer	vertebrates
laticauda_laticaudata	vertebrates
latimeria_chalumnae	vertebrates
lepidothrix_coronata	vertebrates
lepisosteus_oculatus	vertebrates
leptobrachium_leishanense	vertebrates
lonchura_striata_domestica	vertebrates
loxodonta_africana	vertebrates
lynx_canadensis	vertebrates
macaca_fascicularis	vertebrates
macaca_mulatta	vertebrates
macaca_nemestrina	vertebrates
malurus_cyaneus_samueli	vertebrates
manacus_vitellinus	vertebrates
mandrillus_leucophaeus	vertebrates
marmota_marmota_marmota	vertebrates
mastacembelus_armatus	vertebrates
maylandia_zebra	vertebrates
